channel_id,timestamp,host_id,content_type,protocol,content_id,geo_location,user_id
63870,0,2088-05-13 07:00:14 ,156,2,1,,1,13.0
34376,0,2088-05-13 07:00:38 ,156,2,1,,802,13.0
44297,2,2088-05-13 07:01:07 ,123,4,1,,556,7.0
16700,0,2088-05-13 07:01:11 ,156,2,1,,1,13.0
54202,0,2088-05-13 07:01:16 ,1,8,1,,1,1.0
86368,0,2088-05-13 07:01:26 ,156,8,1,,1,0.0
80555,1,2088-05-13 07:01:38 ,156,6,1,,884,46.0
40317,0,2088-05-13 07:02:07 ,156,2,1,,1,13.0
40318,0,2088-05-13 07:03:10 ,156,2,1,,1,13.0
46256,0,2088-05-13 07:04:08 ,156,2,1,,1,13.0
49162,0,2088-05-13 07:05:10 ,156,2,1,,1,13.0
51177,0,2088-05-13 07:05:30 ,156,8,1,,266,0.0
81535,0,2088-05-13 07:06:07 ,156,2,1,,1,13.0
78657,0,2088-05-13 07:07:02 ,156,8,1,,1167,0.0
10694,0,2088-05-13 07:07:02 ,156,8,1,,1167,0.0
10693,0,2088-05-13 07:07:02 ,156,8,1,,1167,0.0
30464,0,2088-05-13 07:07:02 ,156,8,1,,1167,0.0
72791,0,2088-05-13 07:07:02 ,156,8,1,,1167,0.0
1856,0,2088-05-13 07:07:02 ,156,8,1,,1167,0.0
1855,0,2088-05-13 07:07:02 ,156,8,1,,1167,0.0
22637,0,2088-05-13 07:07:02 ,156,8,1,,1167,0.0
74773,0,2088-05-13 07:07:02 ,156,8,1,,1167,0.0
43313,0,2088-05-13 07:07:02 ,156,8,1,,1167,0.0
31409,0,2088-05-13 07:07:02 ,156,8,1,,1167,0.0
72790,0,2088-05-13 07:07:02 ,156,8,1,,1167,0.0
81537,0,2088-05-13 07:07:02 ,156,8,1,,1167,0.0
72792,0,2088-05-13 07:07:02 ,156,8,1,,1167,0.0
49161,0,2088-05-13 07:07:02 ,156,8,1,,1167,0.0
49160,0,2088-05-13 07:07:02 ,156,8,1,,1167,0.0
49159,0,2088-05-13 07:07:02 ,156,8,1,,1167,0.0
49158,0,2088-05-13 07:07:02 ,156,8,1,,1167,0.0
81536,0,2088-05-13 07:07:02 ,156,8,1,,1167,0.0
13665,0,2088-05-13 07:07:02 ,156,8,1,,1167,0.0
33355,0,2088-05-13 07:07:02 ,156,8,1,,1167,0.0
87406,0,2088-05-13 07:07:02 ,156,8,1,,1167,0.0
54203,0,2088-05-13 07:07:02 ,156,8,1,,1167,0.0
7809,0,2088-05-13 07:07:02 ,156,8,1,,1167,0.0
37372,0,2088-05-13 07:07:02 ,156,8,1,,1167,0.0
7808,0,2088-05-13 07:07:02 ,156,8,1,,1167,0.0
66860,0,2088-05-13 07:07:08 ,156,2,1,,1,13.0
48213,1,2088-05-13 07:07:16 ,156,6,1,,1530,46.0
75693,0,2088-05-13 07:07:19 ,156,8,1,,882,0.0
1857,0,2088-05-13 07:08:06 ,156,2,1,,1,13.0
7810,0,2088-05-13 07:08:06 ,156,8,1,,1303,0.0
63896,0,2088-05-13 07:09:10 ,156,2,1,,1,13.0
84504,0,2088-05-13 07:10:06 ,156,2,1,,1,13.0
45274,0,2088-05-13 07:11:05 ,156,8,1,,0,0.0
19646,0,2088-05-13 07:11:05 ,156,2,1,,1,13.0
70941,0,2088-05-13 07:11:33 ,156,8,1,,1389,0.0
34449,0,2088-05-13 07:12:09 ,156,2,1,,1,13.0
87468,0,2088-05-13 07:13:07 ,156,2,1,,1,13.0
72874,0,2088-05-13 07:14:04 ,156,2,1,,1,13.0
5892,0,2088-05-13 07:15:09 ,156,2,1,,1,13.0
5886,0,2088-05-13 07:15:25 ,156,8,1,,1135,0.0
21657,0,2088-05-13 07:15:52 ,156,8,1,,0,0.0
41369,0,2088-05-13 07:16:10 ,156,2,1,,1,13.0
54205,0,2088-05-13 07:16:19 ,156,8,1,,684,0.0
26700,0,2088-05-13 07:17:04 ,156,2,1,,1,13.0
18706,0,2088-05-13 07:18:11 ,156,2,1,,1,13.0
31507,0,2088-05-13 07:18:51 ,156,8,1,,1008,0.0
24686,0,2088-05-13 07:19:06 ,156,2,1,,1,13.0
67945,0,2088-05-13 07:20:03 ,156,8,1,,1008,0.0
9778,0,2088-05-13 07:20:04 ,156,2,1,,1,13.0
77744,0,2088-05-13 07:21:05 ,156,2,1,,1,13.0
87493,0,2088-05-13 07:21:19 ,156,8,1,,1,0.0
2885,0,2088-05-13 07:21:34 ,156,8,1,,712,0.0
42334,0,2088-05-13 07:22:10 ,156,2,1,,1,13.0
25673,0,2088-05-13 07:22:47 ,105,8,1,,1,1.0
71846,0,2088-05-13 07:23:10 ,156,2,1,,1,13.0
76741,0,2088-05-13 07:23:25 ,156,8,1,,1,0.0
53283,0,2088-05-13 07:24:05 ,156,8,1,,1,0.0
6825,0,2088-05-13 07:24:10 ,156,2,1,,1,13.0
31475,1,2088-05-13 07:24:11 ,156,6,1,,1586,54.0
49230,1,2088-05-13 07:24:12 ,156,6,1,,1586,54.0
10735,1,2088-05-13 07:24:12 ,156,6,1,,1586,54.0
82548,0,2088-05-13 07:24:25 ,156,8,1,,1,0.0
24687,2,2088-05-13 07:24:27 ,123,4,1,,1211,7.0
58128,2,2088-05-13 07:24:52 ,123,4,1,,1549,7.0
86428,0,2088-05-13 07:25:06 ,156,2,1,,1,13.0
69952,0,2088-05-13 07:26:02 ,156,2,1,,1,13.0
27645,0,2088-05-13 07:26:08 ,156,2,1,,1,13.0
24681,0,2088-05-13 07:26:37 ,156,8,1,,12,0.0
25703,0,2088-05-13 07:27:05 ,156,2,1,,1,13.0
33364,0,2088-05-13 07:27:07 ,156,2,1,,1,13.0
9787,0,2088-05-13 07:27:23 ,156,8,1,,0,0.0
34452,0,2088-05-13 07:27:59 ,156,2,1,,1,13.0
36428,0,2088-05-13 07:28:10 ,156,2,1,,1,13.0
75761,0,2088-05-13 07:28:57 ,156,2,1,,1,13.0
980,0,2088-05-13 07:29:10 ,156,2,1,,1,13.0
46341,0,2088-05-13 07:29:55 ,156,2,1,,1,13.0
54285,0,2088-05-13 07:30:11 ,156,2,1,,1,13.0
55222,0,2088-05-13 07:31:00 ,156,2,1,,1,13.0
15669,0,2088-05-13 07:31:06 ,156,2,1,,1,13.0
37389,0,2088-05-13 07:32:01 ,156,2,1,,1,13.0
6826,0,2088-05-13 07:32:04 ,156,2,1,,1,13.0
81627,0,2088-05-13 07:32:59 ,156,2,1,,1,13.0
10720,0,2088-05-13 07:33:57 ,156,2,1,,1,13.0
43390,0,2088-05-13 07:34:14 ,156,8,1,,1,0.0
28562,3,2088-05-13 07:34:17 ,76,8,1,,1,1.0
10742,0,2088-05-13 07:34:38 ,156,8,1,,499,0.0
981,0,2088-05-13 07:34:43 ,156,8,1,,1,0.0
31508,0,2088-05-13 07:34:59 ,156,2,1,,1,13.0
4876,0,2088-05-13 07:36:01 ,156,2,1,,1,13.0
30475,0,2088-05-13 07:36:56 ,156,8,1,,882,0.0
6850,0,2088-05-13 07:36:56 ,156,8,1,,882,0.0
982,0,2088-05-13 07:36:56 ,156,8,1,,882,0.0
57209,0,2088-05-13 07:36:56 ,156,8,1,,882,0.0
42335,0,2088-05-13 07:36:56 ,156,8,1,,882,0.0
18726,0,2088-05-13 07:36:56 ,156,8,1,,882,0.0
42316,0,2088-05-13 07:36:56 ,156,8,1,,882,0.0
42315,0,2088-05-13 07:36:56 ,156,8,1,,882,0.0
30474,0,2088-05-13 07:36:56 ,156,8,1,,882,0.0
21658,0,2088-05-13 07:36:57 ,156,8,1,,882,0.0
21681,0,2088-05-13 07:36:57 ,156,8,1,,882,0.0
77724,0,2088-05-13 07:36:57 ,156,8,1,,882,0.0
48281,0,2088-05-13 07:36:57 ,156,8,1,,882,0.0
24688,0,2088-05-13 07:36:57 ,156,8,1,,882,0.0
3886,0,2088-05-13 07:36:57 ,156,8,1,,882,0.0
3885,0,2088-05-13 07:36:57 ,156,8,1,,882,0.0
12706,0,2088-05-13 07:36:57 ,156,8,1,,882,0.0
68902,0,2088-05-13 07:36:57 ,156,8,1,,882,0.0
75773,0,2088-05-13 07:37:02 ,156,2,1,,1,13.0
80607,0,2088-05-13 07:37:33 ,156,2,1,,1,13.0
7831,0,2088-05-13 07:37:58 ,156,2,1,,1,13.0
86383,0,2088-05-13 07:38:27 ,156,2,1,,1,13.0
2884,0,2088-05-13 07:38:35 ,156,8,1,,1185,0.0
1928,0,2088-05-13 07:39:02 ,156,2,1,,1,13.0
65828,0,2088-05-13 07:39:29 ,156,2,1,,1,13.0
31509,0,2088-05-13 07:40:01 ,156,2,1,,1,13.0
23724,2,2088-05-13 07:40:15 ,123,4,1,,1482,7.0
80608,0,2088-05-13 07:40:27 ,156,2,1,,1,13.0
52218,0,2088-05-13 07:40:56 ,156,2,1,,1,13.0
57198,0,2088-05-13 07:41:29 ,156,2,1,,1,13.0
10779,0,2088-05-13 07:41:55 ,156,2,1,,1,13.0
74803,0,2088-05-13 07:42:26 ,156,2,1,,1,13.0
58158,0,2088-05-13 07:42:56 ,156,2,1,,1,13.0
68949,0,2088-05-13 07:43:30 ,156,2,1,,1,13.0
21659,0,2088-05-13 07:44:26 ,156,2,1,,1,13.0
951,0,2088-05-13 07:44:54 ,156,8,1,,585,0.0
20659,0,2088-05-13 07:45:13 ,156,8,1,,12,0.0
76742,0,2088-05-13 07:46:04 ,156,2,1,,1,13.0
53284,0,2088-05-13 07:47:00 ,156,2,1,,1,13.0
47286,0,2088-05-13 07:47:56 ,156,2,1,,1,13.0
52223,0,2088-05-13 07:48:12 ,156,8,1,,1007,0.0
35429,0,2088-05-13 07:49:01 ,156,2,1,,1,13.0
52219,0,2088-05-13 07:49:10 ,156,2,1,,1,13.0
57154,0,2088-05-13 07:49:29 ,156,8,1,,1,0.0
7832,0,2088-05-13 07:49:52 ,156,8,1,,1,0.0
70942,0,2088-05-13 07:49:59 ,156,2,1,,1,13.0
85451,0,2088-05-13 07:50:00 ,156,8,1,,1169,0.0
52263,0,2088-05-13 07:50:02 ,156,2,1,,1,13.0
79652,0,2088-05-13 07:50:59 ,156,2,1,,1,13.0
61080,0,2088-05-13 07:51:04 ,156,2,1,,1,13.0
44296,0,2088-05-13 07:51:11 ,156,8,1,,1,0.0
25704,0,2088-05-13 07:51:59 ,156,2,1,,1,13.0
17719,0,2088-05-13 07:52:02 ,156,2,1,,1,13.0
35427,0,2088-05-13 07:53:00 ,156,2,1,,1,13.0
63897,0,2088-05-13 07:53:00 ,156,2,1,,1,13.0
11715,0,2088-05-13 07:54:00 ,156,2,1,,1,13.0
81628,0,2088-05-13 07:54:03 ,156,2,1,,1,13.0
73825,0,2088-05-13 07:54:55 ,156,2,1,,1,13.0
70937,0,2088-05-13 07:55:59 ,156,2,1,,1,13.0
47288,0,2088-05-13 07:57:02 ,156,2,1,,1,13.0
44293,0,2088-05-13 07:58:02 ,156,2,1,,1,13.0
11713,0,2088-05-13 07:59:00 ,156,2,1,,1,13.0
87515,0,2088-05-13 07:59:05 ,156,8,1,,0,0.0
78674,2,2088-05-13 07:59:42 ,123,4,1,,609,7.0
50210,0,2088-05-13 07:59:58 ,156,2,1,,1,13.0
44294,0,2088-05-13 08:00:13 ,156,8,1,,1113,0.0
53289,0,2088-05-13 08:00:30 ,156,8,1,,138,0.0
70938,0,2088-05-13 08:01:02 ,156,2,1,,1,13.0
32445,0,2088-05-13 08:01:57 ,156,2,1,,1,13.0
63890,0,2088-05-13 08:02:12 ,156,8,1,,1391,0.0
24717,0,2088-05-13 08:02:47 ,156,8,1,,1,0.0
23725,0,2088-05-13 08:02:57 ,156,2,1,,1,13.0
35428,0,2088-05-13 08:03:57 ,156,2,1,,1,13.0
17724,0,2088-05-13 08:04:31 ,156,8,1,,360,0.0
32444,0,2088-05-13 08:04:55 ,156,2,1,,1,13.0
26705,0,2088-05-13 08:05:56 ,156,2,1,,1,13.0
26701,0,2088-05-13 08:06:02 ,156,8,1,,1135,0.0
11763,0,2088-05-13 08:06:57 ,156,2,1,,1,13.0
19748,0,2088-05-13 08:07:02 ,156,8,1,,1167,0.0
23718,0,2088-05-13 08:07:02 ,156,8,1,,1167,0.0
61963,0,2088-05-13 08:07:02 ,156,8,1,,1167,0.0
5887,0,2088-05-13 08:07:02 ,156,8,1,,1167,0.0
10736,0,2088-05-13 08:07:02 ,156,8,1,,1167,0.0
20661,0,2088-05-13 08:07:02 ,156,8,1,,1167,0.0
2878,0,2088-05-13 08:07:02 ,156,8,1,,1167,0.0
14727,0,2088-05-13 08:07:02 ,156,8,1,,1167,0.0
14728,0,2088-05-13 08:07:02 ,156,8,1,,1167,0.0
41364,0,2088-05-13 08:07:02 ,156,8,1,,1167,0.0
59178,0,2088-05-13 08:07:02 ,156,8,1,,1167,0.0
61092,0,2088-05-13 08:07:02 ,156,8,1,,1167,0.0
38407,0,2088-05-13 08:07:02 ,156,8,1,,1167,0.0
64913,0,2088-05-13 08:07:02 ,156,8,1,,1167,0.0
29583,0,2088-05-13 08:07:02 ,156,8,1,,1167,0.0
8821,0,2088-05-13 08:07:02 ,156,8,1,,1167,0.0
17721,0,2088-05-13 08:07:02 ,156,8,1,,1167,0.0
26706,0,2088-05-13 08:07:02 ,156,8,1,,1167,0.0
16,0,2088-05-13 08:07:02 ,156,8,1,,1167,0.0
76743,0,2088-05-13 08:07:02 ,156,8,1,,1167,0.0
75762,0,2088-05-13 08:07:02 ,156,8,1,,1167,0.0
50208,0,2088-05-13 08:07:02 ,156,8,1,,1167,0.0
32446,0,2088-05-13 08:07:02 ,156,8,1,,1167,0.0
72793,0,2088-05-13 08:07:02 ,156,8,1,,1167,0.0
76744,0,2088-05-13 08:07:02 ,156,8,1,,1167,0.0
55207,0,2088-05-13 08:07:02 ,156,8,1,,1167,0.0
36425,0,2088-05-13 08:10:06 ,156,8,1,,0,0.0
57155,0,2088-05-13 08:12:56 ,156,8,1,,882,0.0
23719,0,2088-05-13 08:14:33 ,156,8,1,,1,0.0
76738,0,2088-05-13 08:15:53 ,156,8,1,,1224,0.0
53285,0,2088-05-13 08:15:53 ,156,8,1,,1224,0.0
14,0,2088-05-13 08:15:53 ,156,8,1,,1224,0.0
56274,0,2088-05-13 08:15:53 ,156,8,1,,1224,0.0
76739,0,2088-05-13 08:15:54 ,156,8,1,,1224,0.0
70925,0,2088-05-13 08:15:54 ,156,8,1,,1224,0.0
20665,0,2088-05-13 08:15:54 ,156,8,1,,1224,0.0
70943,0,2088-05-13 08:15:54 ,156,8,1,,1224,0.0
23720,0,2088-05-13 08:15:54 ,156,8,1,,1224,0.0
67946,0,2088-05-13 08:15:54 ,156,8,1,,1224,0.0
82545,0,2088-05-13 08:15:54 ,156,8,1,,1224,0.0
85450,0,2088-05-13 08:15:54 ,156,8,1,,1224,0.0
2879,0,2088-05-13 08:15:54 ,156,8,1,,1224,0.0
