"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","192.168.0.18","192.168.0.255","UDP","54","2007  >  2007 Len=12"
"2","0.000602","192.168.0.18","192.168.0.255","UDP","54","2008  >  2008 Len=12"
"3","0.102321","192.168.0.18","192.168.0.255","UDP","54","2007  >  2007 Len=12"
"4","0.103774","192.168.0.18","192.168.0.255","UDP","54","2008  >  2008 Len=12"
"5","0.204482","192.168.0.18","192.168.0.255","UDP","54","2007  >  2007 Len=12"
"6","0.206228","192.168.0.18","192.168.0.255","UDP","54","2008  >  2008 Len=12"
"7","0.306685","192.168.0.18","192.168.0.255","UDP","54","2007  >  2007 Len=12"
"8","0.312168","93.184.220.29","192.168.0.118","TCP","56","80  >  54905 [ACK] Seq=1 Ack=1 Win=131 Len=0"
"9","0.312311","192.168.0.118","93.184.220.29","TCP","54","[TCP ACKed unseen segment] 54905  >  80 [ACK] Seq=1 Ack=2 Win=512 Len=0"
"10","0.409018","192.168.0.18","192.168.0.255","UDP","54","2007  >  2007 Len=12"
"11","0.410088","192.168.0.18","192.168.0.255","UDP","54","2008  >  2008 Len=12"
"12","0.511500","192.168.0.18","192.168.0.255","UDP","54","2007  >  2007 Len=12"
"13","0.512328","192.168.0.18","192.168.0.255","UDP","54","2008  >  2008 Len=12"
"14","0.615044","192.168.0.18","192.168.0.255","UDP","54","2007  >  2007 Len=12"
"15","0.616168","192.168.0.18","192.168.0.255","UDP","54","2008  >  2008 Len=12"
"16","0.716237","192.168.0.18","192.168.0.255","UDP","54","2007  >  2007 Len=12"
"17","0.717405","192.168.0.18","192.168.0.255","UDP","54","2008  >  2008 Len=12"
"18","0.818778","192.168.0.18","192.168.0.255","UDP","54","2007  >  2007 Len=12"
"19","0.820630","192.168.0.18","192.168.0.255","UDP","54","2008  >  2008 Len=12"
"20","0.907024","192.168.0.118","239.255.255.250","SSDP","215","M-SEARCH * HTTP/1.1 "
"21","0.921078","192.168.0.18","192.168.0.255","UDP","54","2007  >  2007 Len=12"
"22","0.922144","192.168.0.18","192.168.0.255","UDP","54","2008  >  2008 Len=12"
"23","1.024029","192.168.0.18","192.168.0.255","UDP","54","2007  >  2007 Len=12"
"24","1.024537","192.168.0.18","192.168.0.255","UDP","54","2008  >  2008 Len=12"
